ts_event,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol,best_level_ofi,multi_level_ofi,integrated_ofi
2024-10-21 11:57:23.893151634+00:00,2024-10-21 11:57:23.893151634+00:00,10,2,38,C,B,0,233.67,1,130,167691,11524531,AAPL,-1,-838,-131.92142508023747
2024-10-21 11:57:23.893200066+00:00,2024-10-21 11:57:23.893200066+00:00,10,2,38,A,A,0,233.71,23,130,166414,11524532,AAPL,23,1055,77.89383434199019
2024-10-21 11:57:23.964289822+00:00,2024-10-21 11:57:23.964289822+00:00,10,2,38,C,B,1,233.5,400,130,166005,11524643,AAPL,0,-828,-116.66830421366114
2024-10-21 11:57:23.964302478+00:00,2024-10-21 11:57:23.964302478+00:00,10,2,38,A,B,1,233.49,200,130,166182,11524644,AAPL,0,628,15.582807271278645
2024-10-21 11:57:23.993763323+00:00,2024-10-21 11:57:23.993763323+00:00,10,2,38,C,A,0,233.71,23,130,165893,11524653,AAPL,23,1055,77.89383434199019
2024-10-21 11:57:25.745564633+00:00,2024-10-21 11:57:25.745564633+00:00,10,2,38,C,B,1,233.49,200,130,165948,11525365,AAPL,0,-628,-103.02262380867475
2024-10-21 11:57:25.813792371+00:00,2024-10-21 11:57:25.813792371+00:00,10,2,38,C,A,2,233.77,200,130,166077,11525510,AAPL,0,-200,-65.15664287531204
2024-10-21 11:57:25.852973172+00:00,2024-10-21 11:57:25.852973172+00:00,10,2,38,A,A,3,233.78,200,130,166446,11525536,AAPL,0,200,-2.186045699934712
2024-10-21 11:57:25.862973670+00:00,2024-10-21 11:57:25.862973670+00:00,10,2,38,A,B,1,233.49,400,130,166669,11525541,AAPL,0,828,29.228487676265047
2024-10-21 11:57:25.868673528+00:00,2024-10-21 11:57:25.868673528+00:00,10,2,38,A,B,0,233.54,200,130,166650,11525550,AAPL,200,210,-39.78820532200314
2024-10-21 11:57:26.000349886+00:00,2024-10-21 11:57:26.000349886+00:00,10,2,38,A,B,0,233.54,200,130,166393,11525708,AAPL,200,200,-40.470489342252456
2024-10-21 11:57:28.039292565+00:00,2024-10-21 11:57:28.039292565+00:00,10,2,38,C,B,0,233.54,200,130,166266,11526531,AAPL,-200,-200,-46.96932719514365
2024-10-21 11:57:28.039302990+00:00,2024-10-21 11:57:28.039302990+00:00,10,2,38,C,B,0,233.54,200,130,166726,11526532,AAPL,-200,-638,-93.30864635038326
2024-10-21 11:57:28.039347712+00:00,2024-10-21 11:57:28.039347712+00:00,10,2,38,T,N,0,233.68,50,130,167884,11526533,AAPL,0,0,-43.71990826869805
2024-10-21 11:57:28.153707091+00:00,2024-10-21 11:57:28.153707091+00:00,10,2,38,A,B,1,233.48,400,130,166270,11526618,AAPL,0,828,29.228487676265047
